,symbol,date,returnOnCapitalEmployed
0,CMCSA,2019-12-31,0.07290603203472859
1,CMCSA,2018-12-31,0.06802004632253515
2,CMCSA,2017-12-31,0.0928301932425569
3,CMCSA,2016-12-31,0.09012046676941465
4,CMCSA,2015-12-31,0.09011024555917949
5,CMCSA,2014-12-31,0.08782560294231623
0,KMI,2019-12-31,0.04583170424431991
1,KMI,2018-12-31,0.03514282909590655
2,KMI,2017-12-31,0.02965392320992398
3,KMI,2016-12-31,0.022021752866995602
4,KMI,2015-12-31,0.009645297917265334
5,KMI,2014-12-31,0.040228538705814984
0,INTC,2020-12-26,0.1954074039443029
1,INTC,2019-12-28,0.2106396763969391
2,INTC,2018-12-29,0.20942723443239894
3,INTC,2017-12-30,0.19231205352080735
4,INTC,2016-12-31,0.13905939263638806
5,INTC,2015-12-26,0.16561593231794716
0,MU,2020-09-03,0.06341007163658781
1,MU,2019-08-29,0.16584700096477398
2,MU,2018-08-30,0.3802828132475679
3,MU,2017-08-31,0.1731884541030598
4,MU,2016-09-01,-0.012376128606033912
5,MU,2015-09-03,0.12891590078070955
0,GE,2020-12-31,0.026356093800714055
1,GE,2019-12-31,0.006049692776698415
2,GE,2018-12-31,-0.08424796535347406
3,GE,2017-12-31,-0.029511784907395908
4,GE,2016-12-31,0.03242742433600988
5,GE,2015-12-31,0.024125288819729335
0,BAC,2019-12-31,0.06803735677548545
1,BAC,2018-12-31,0.06990663348944952
2,BAC,2017-12-31,0.06486674926835334
3,BAC,2016-12-31,0.05211404466562934
4,BAC,2015-12-31,0.04493994551381527
5,BAC,2014-12-31,0.015036653900317184
0,AAPL,2020-09-26,0.30705825278265964
1,AAPL,2019-09-28,0.28237785547985805
2,AAPL,2018-09-29,0.29185014972217327
3,AAPL,2017-09-30,0.23347115717382197
4,AAPL,2016-09-24,0.25289269820339544
5,AAPL,2015-09-26,0.34574582210885163
0,MSFT,2020-06-30,0.23159724193344133
1,MSFT,2019-06-30,0.20120109056075455
2,MSFT,2018-06-30,0.18204232381712918
3,MSFT,2017-06-30,0.13111197956490464
4,MSFT,2016-06-30,0.1470257635647662
5,MSFT,2015-06-30,0.14645669291338584
0,SIRI,2020-12-31,0.060005581914596706
1,SIRI,2019-12-31,0.15236761710794297
2,SIRI,2018-12-31,0.26453606273898717
3,SIRI,2017-12-31,0.2295291653564122
4,SIRI,2016-12-31,0.20462253565795951
5,SIRI,2015-12-31,0.16070916682807299
0,HPQ,2020-10-31,0.3818697553480676
1,HPQ,2019-10-31,0.3086616099828725
2,HPQ,2018-10-31,0.3174586450321357
3,HPQ,2017-10-31,0.3119702885439482
4,HPQ,2016-10-31,0.3686532052538718
5,HPQ,2015-10-31,0.07314773306951508
0,CX,2019-12-31,0.010561910328128914
1,CX,2018-12-31,0.03353896518097118
2,CX,2017-12-31,0.029993280661920668
3,CX,2016-12-31,0.033382147245427055
4,CX,2015-12-31,0.007328253376170178
5,CX,2014-12-31,-0.0038115085937212643
0,CZR,2019-12-31,0.025237338369304217
1,CZR,2018-12-31,0.02461698750382309
2,CZR,2017-12-31,-0.013022128602611097
3,CZR,2016-12-31,0.03191767812859688
4,CZR,2015-12-31,0.03658088506665311
5,CZR,2014-12-31,-0.011586674862434771
0,QQQ,2015-09-30,
1,QQQ,2014-09-30,
2,QQQ,2013-09-30,
3,QQQ,2012-09-30,
4,QQQ,2011-09-30,
5,QQQ,2010-09-30,
0,F,2020-12-31,-0.0065620424651171
1,F,2019-12-31,-0.003989900564196877
2,F,2018-12-31,0.0269924396319834
3,F,2017-12-31,0.0499240233321896
4,F,2016-12-31,0.04602153450260717
5,F,2015-12-31,0.07136145006021036
0,AMD,2020-12-26,0.19480519480519481
1,AMD,2019-12-28,0.10139002452984465
2,AMD,2018-12-29,0.12830482115085537
3,AMD,2017-12-30,-0.00392349190779794
4,AMD,2016-12-31,-0.22683544303797468
5,AMD,2015-12-26,-0.38429506246281975
0,SNAP,2020-12-31,-0.2125783611370533
1,SNAP,2019-12-31,-0.2941895634392664
2,SNAP,2018-12-31,-0.5176163524220342
3,SNAP,2017-12-31,-1.1261980093063788
0,FB,2020-12-31,0.22988187203381022
1,FB,2019-12-31,0.20969718482459032
2,FB,2018-12-31,0.28079984941926767
3,FB,2017-12-31,0.2549898469615175
4,FB,2016-12-31,0.20162355442450794
5,FB,2015-12-31,0.13044943346952528
0,WFC,2019-12-31,0.058265612020081625
1,WFC,2018-12-31,0.06712075526725529
2,WFC,2017-12-31,0.06338486329549427
3,WFC,2016-12-31,0.0706475956282951
4,WFC,2015-12-31,0.08570387694063578
5,WFC,2014-12-31,0.09207825633674334
0,AIG,2019-12-31,0.05314155333755491
1,AIG,2018-12-31,0.00282725162539466
2,AIG,2017-12-31,0.01514290731425148
3,AIG,2016-12-31,-0.0006902212438906093
4,AIG,2015-12-31,0.027569575154611455
5,AIG,2014-12-31,0.07603084386199906
0,T,2019-12-31,0.038255192042389766
1,T,2018-12-31,0.053210651971145204
2,T,2017-12-31,0.04173880917983612
3,T,2016-12-31,0.05608571954309332
4,T,2015-12-31,0.05831097684694637
5,T,2014-12-31,0.038975217865989426
0,C,2020-12-31,0.006111425927652767
1,C,2019-12-31,0.05475576286019308
2,C,2018-12-31,0.05612624754918977
3,C,2017-12-31,0.054432750048427715
4,C,2016-12-31,0.05242153976831715
5,C,2015-12-31,0.06124855673867348
0,VALE,2019-12-31,-0.03363799456943367
1,VALE,2018-12-31,
2,VALE,2017-12-31,
3,VALE,2016-12-31,
4,VALE,2015-12-31,-0.21988385367548519
5,VALE,2014-12-31,0.013802849448508172
0,MS,2020-12-31,
1,MS,2019-12-31,0.041218049719887954
2,MS,2018-12-31,0.04163270447708108
3,MS,2017-12-31,0.03853348297792742
4,MS,2016-12-31,0.03674037163915706
5,MS,2015-12-31,0.0371041712164228
0,AKS,2019-12-31,0.019602844112064814
1,AKS,2018-12-31,0.07023707596468956
2,AKS,2017-12-31,0.046836317577292876
3,AKS,2016-12-31,0.010187024947172548
4,AKS,2015-12-31,-0.12584653823394043
5,AKS,2014-12-31,-0.00712973965647618
0,JPM,2019-12-31,0.08057659886981122
1,JPM,2018-12-31,0.07569269848815142
2,JPM,2017-12-31,0.0665094400794408
3,JPM,2016-12-31,0.06285729886155778
4,JPM,2015-12-31,0.05725592289789342
5,JPM,2014-12-31,0.0585418381964272
0,ORCL,2020-05-31,0.12279362364868991
1,ORCL,2019-05-31,0.13619156518167386
2,ORCL,2018-05-31,0.10918191904733672
3,ORCL,2017-05-31,0.10393184915127286
