CEO,address,address2,city,companyName,country,description,employees,exchange,industry,issueType,phone,primarySicCode,sector,securityName,state,symbol,tags,website,zip
J. Rock Tonkel,6862 Elm St Ste 320,,Mc Lean,Arlington Asset Investment Corp,US,,,"NEW YORK STOCK EXCHANGE, INC.",Securities and Commodity Exchanges,ps,17033730200,6799,Finance and Insurance,Arlington Asset Investment Corp - 7% PRF PERPETUAL USD 25 - Ser B,Virginia,AAIC-B,"['Finance', 'Real Estate Investment Trusts', 'Finance and Insurance', 'Securities and Commodity Exchanges']",http://www.arlingtonasset.com/,22101-3867
J. Rock Tonkel,6862 Elm St Ste 320,,Mc Lean,Arlington Asset Investment Corp,US,,,"NEW YORK STOCK EXCHANGE, INC.",Securities and Commodity Exchanges,ps,17033730200,6799,Finance and Insurance,Arlington Asset Investment Corp - FXDFR PRF PERPETUAL USD 25 - Ser C,Virginia,AAIC-C,"['Finance', 'Real Estate Investment Trusts', 'Finance and Insurance', 'Securities and Commodity Exchanges']",http://www.arlingtonasset.com/,22101-3867
Thomas Horton,1 Skyview Dr,,Fort Worth,American Airlines Group Inc,US,"American Airlines Group Inc. is the parent company of American Airlines. Together with regional partner American Eagle, American Airlines offers an average of nearly 6,700 flights daily to 350 destinations in 50 countries. American Airlines is a founding member of the oneworld® alliance, whose members and members-elect offer nearly 14,250 flights daily to 1,000 destinations in 150 countries.",133700,NASDAQ/NGS (GLOBAL SELECT MARKET),Scheduled Passenger Air Transportation ,cs,18179631234,4512,Transportation and Warehousing,American Airlines Group Inc,Texas,AAL,"['Transportation', 'Airlines', 'Transportation and Warehousing', 'Scheduled Passenger Air Transportation ']",https://www.aa.com/,76155-1801
,,,,Altisource Asset Management Corp,,,,NYSE MKT LLC,Portfolio Management ,cs,,6282,Finance and Insurance,Altisource Asset Management Corp,,AAMC,"['Finance', 'Investment Managers', 'Finance and Insurance', 'Portfolio Management ']",,
,,,,Atlantic American Corp.,,,,NASDAQ/NMS (GLOBAL MARKET),Third Party Administration of Insurance and Pension Funds ,cs,,6311,Finance and Insurance,Atlantic American Corp.,,AAME,"['Finance', 'Multi-Line Insurance', 'Finance and Insurance', 'Third Party Administration of Insurance and Pension Funds ']",,
,,,,Aarons Company Inc (The),,,11800,"NEW YORK STOCK EXCHANGE, INC.",Furniture Stores ,cs,,7359,Retail Trade,Aarons Company Inc (The),,AAN,"['Finance', 'Finance/Rental/Leasing', 'Retail Trade', 'Furniture Stores ']",,
Chih-Hsiang Lin,13139 Jess Pirtle Blvd,,Sugar Land,Applied Optoelectronics Inc,US,,,NASDAQ/NMS (GLOBAL MARKET),Semiconductor and Related Device Manufacturing ,cs,12812951800,3674,Manufacturing,Applied Optoelectronics Inc,Texas,AAOI,"['Electronic Technology', 'Telecommunications Equipment', 'Computer Communications', 'Manufacturing', 'Semiconductor and Related Device Manufacturing ']",http://ao-inc.com/,77478-2856
,,,,AAON Inc.,,,1392,NASDAQ/NGS (GLOBAL SELECT MARKET),Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,cs,,3585,Manufacturing,AAON Inc.,,AAON,"['Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ', 'Industrial Machinery', 'Manufacturing', 'Producer Manufacturing']",,
Thomas Greco,2635 E Millbrook Rd,,Raleigh,Advance Auto Parts Inc,US,,70000,"NEW YORK STOCK EXCHANGE, INC.",New Car Dealers ,cs,15403624911,5531,Retail Trade,Advance Auto Parts Inc,North Carolina,AAP,"['Retail Trade', 'Specialty Stores', 'New Car Dealers ']",https://shop.advanceautoparts.com/,27604-2988
Timothy Cook,1 Apple Park Way,,Cupertino,Apple Inc,US,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services. It is considered one of the Big Five companies in the U.S. information technology industry, along with Amazon, Google, Microsoft, and Facebook. Its hardware products include the iPhone smartphone, the iPad tablet computer, the Mac personal computer, the iPod portable media player, the Apple Watch smartwatch, the Apple TV digital media player, the AirPods wireless earbuds, the AirPods Max headphones, and the HomePod smart speaker line. Apple's software includes iOS, iPadOS, macOS, watchOS, and tvOS operating systems, the iTunes media player, the Safari web browser, the Shazam music identifier, and the iLife and iWork creativity and productivity suites, as well as professional applications like Final Cut Pro X, Logic Pro, and Xcode. Its online services include the iTunes Store, the iOS App Store, Mac App Store, Apple Arcade, Apple Music, Apple TV+, iMessage, and iCloud. Other services include Apple Store, Genius Bar, AppleCare, Apple Pay, Apple Pay Cash, and Apple Card. Apple was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne in April 1976 to develop and sell Wozniak's Apple I personal computer, though Wayne sold his share back within 12 days. It was incorporated as Apple Computer, Inc., in January 1977, and sales of its computers, including the Apple I and Apple II, grew quickly.",147000,NASDAQ/NGS (GLOBAL SELECT MARKET),Electronic Computer Manufacturing ,cs,14089961010,3571,Manufacturing,Apple Inc,California,AAPL,"['Electronic Technology', 'Telecommunications Equipment', 'Manufacturing', 'Electronic Computer Manufacturing ']",https://www.apple.com/,95014-0642
