,date,symbol,enterpriseValue
0,2020-09-30,CMCSA,302449010846.0
1,2020-06-30,CMCSA,270455860000.0
2,2020-03-31,CMCSA,253793464617.0
3,2019-12-31,CMCSA,304568344622.0
4,2019-09-30,CMCSA,305603529238.0
5,2019-06-30,CMCSA,300458965393.0
0,2020-09-30,KMI,61987790000.0
1,2020-06-30,KMI,68220370000.0
2,2020-03-31,KMI,66099880000.0
3,2019-12-31,KMI,82057050000.0
4,2019-09-30,KMI,82937042264.0
5,2019-06-30,KMI,83076557738.0
0,2020-12-26,INTC,229783310000.0
1,2020-09-26,INTC,244603015767.0
2,2020-06-27,INTC,275941000000.0
3,2020-03-28,INTC,254358435688.0
4,2019-12-28,INTC,287416688742.0
5,2019-09-28,INTC,250079735566.99997
0,2020-12-03,MU,79956902262.0
1,2020-09-03,MU,51681232262.0
2,2020-05-28,MU,51093630000.0
3,2020-02-27,MU,55925140000.0
4,2019-11-28,MU,52368790000.0
5,2019-08-29,MU,47776760000.0
0,2020-12-31,GE,133000800000.0
1,2020-09-30,GE,94852880000.0
2,2020-06-30,GE,99705500000.0
3,2020-03-31,GE,105333480000.0
4,2019-12-31,GE,148975760000.0
5,2019-09-30,GE,140403740000.0
0,2020-09-30,BAC,177865561000.0
1,2020-06-30,BAC,191791625000.0
2,2020-03-31,BAC,211312188000.0
3,2019-12-31,BAC,413975271017.10004
4,2019-09-30,BAC,380822012000.0
5,2019-06-30,BAC,365341544000.0
0,2020-12-26,AAPL,2390894449980.238
1,2020-09-26,AAPL,1988642781102.3782
2,2020-06-27,AAPL,1597516207240.292
3,2020-03-28,AAPL,1139741439180.404
4,2019-12-28,AAPL,1345547539019.52
5,2019-09-28,AAPL,1038404517766.496
0,2020-12-31,MSFT,1726474084890.0
1,2020-09-30,MSFT,1637703795132.0
2,2020-06-30,MSFT,1592356762100.0
3,2020-03-31,MSFT,1253811473214.0
4,2019-12-31,MSFT,1262575677137.0
5,2019-09-30,MSFT,1117733012366.0
0,2020-12-31,SIRI,35310400000.0
1,2020-09-30,SIRI,31001360000.0
2,2020-06-30,SIRI,33209030000.0
3,2020-03-31,SIRI,29568700000.0
4,2019-12-31,SIRI,39333850000.0
5,2019-09-30,SIRI,35684000000.0
0,2020-10-31,HPQ,26761318583.0
1,2020-07-31,HPQ,26444859999.999996
2,2020-04-30,HPQ,23024850000.0
3,2020-01-31,HPQ,31604280000.0
4,2019-10-31,HPQ,26188121475.999996
5,2019-07-31,HPQ,31644961499.0
0,2020-09-30,CX,14156538939.599998
1,2020-04-30,CX,-1386571608164.0
2,2020-02-25,CX,-653725.63
3,2019-12-31,CX,-642314287.0
4,2019-11-12,CX,376679997.36
5,2019-06-30,CX,15499081618.513798
0,2020-09-30,CZR,22754120152.0
1,2020-06-30,CZR,2691418089.88
2,2020-03-31,CZR,2882022296.88
3,2019-12-31,CZR,3421606233.6
4,2019-09-30,CZR,3648592975.98
5,2019-06-30,CZR,3767061280.41
0,2020-12-31,F,136441000000.0
1,2020-09-30,F,77568160000.0
2,2020-06-30,F,164408000000.0
3,2020-03-31,F,158927290000.0
