,symbol,date,enterpriseValue
0,0001.HK,2019-12-31,168166000000.0
1,0002.HK,2019-12-31,39995000000.0
2,0003.HK,2019-12-31,31632300000.0
3,0004.HK,2019-12-31,8397000000.0
4,0005.HK,2019-12-31,1028631609702.0
5,0006.HK,2019-12-31,80000000.0
6,0007.HK,2019-12-31,57941000.0
7,0008.HK,2019-12-31,48655000000.0
8,0009.HK,2019-12-31,621691000.0
9,0010.HK,2019-12-31,24212000000.0
10,0011.HK,2019-12-31,-84495000000.0
11,0012.HK,2019-12-31,51862000000.0
12,0014.HK,2019-12-31,14102000000.0
13,0016.HK,2019-12-31,116637000000.0
14,0017.HK,2019-12-31,90481200000.0
15,0018.HK,2019-09-30,-639591000.0
16,0019.HK,2019-12-31,35119000000.0
17,0021.HK,2019-12-31,-4670000.0
18,0022.HK,2019-09-30,-19946000.0
19,0023.HK,2019-12-31,-113805000000.0
20,0024.HK,2019-06-30,59487000.0
21,0025.HK,2019-09-30,1003697000.0
22,0026.HK,2019-12-31,-3730360000.0
23,0027.HK,2019-12-31,-8375570000.0
24,0028.HK,2019-12-31,1243993000.0
25,0029.HK,2019-12-31,73328000.0
26,0030.HK,2019-09-30,-31655824.0
27,0031.HK,2019-12-31,294744000.0
28,0032.HK,2019-12-31,1016727000.0
29,0033.HK,2019-12-31,39479000.0
30,0034.HK,2019-12-31,11609346000.0
31,0035.HK,2019-09-30,19379631000.0
32,0036.HK,2019-12-31,337089000.0
33,0037.HK,2019-09-30,24976190.0
34,0038.HK,2019-12-31,2194870634.46
35,0039.HK,2019-12-31,-46138000.0
36,0040.HK,2019-09-30,-77312000.0
37,0041.HK,2019-12-31,16577494000.0
38,0042.HK,2019-12-31,327795390.93000007
39,0043.HK,2019-12-31,139942000.0
40,0045.HK,2019-12-31,5713000000.0
41,0046.HK,2019-12-31,-144881000.0
42,0047.HK,2019-12-31,175088000.0
43,0048.HK,2019-12-31,-2686000.0
44,0050.HK,2019-12-31,-974746000.0
45,0051.HK,2019-12-31,-75000000.0
46,0052.HK,2019-09-30,-636263000.0
47,0053.HK,2019-12-31,3960434000.0
48,0055.HK,2019-12-31,-120394203.0
49,0057.HK,2019-09-30,-754729000.0
50,0058.HK,2019-12-31,-20635000.0
51,0059.HK,2019-12-31,2758066000.0
52,0060.HK,2019-09-30,-163981000.0
53,0061.HK,2019-12-31,-45788000.0
54,0062.HK,2019-12-31,3633191000.0
55,0063.HK,2019-12-31,-1710000.0
56,0064.HK,2019-09-30,-255901000.0
57,0065.HK,2019-12-31,-121644000.0
58,0066.HK,2019-12-31,24152000000.0
59,0068.HK,2019-12-31,40818000.0
60,0069.HK,2019-12-31,4081108000.0
61,0070.HK,2019-12-31,-123909000.0
62,0071.HK,2019-12-31,-5197108000.0
63,0072.HK,2019-12-31,-40792000.0
64,0073.HK,2019-12-31,-10657000.0
65,0075.HK,2019-12-31,-451571000.0
66,0076.HK,2019-12-31,-11282000.0
67,0077.HK,2019-09-30,95428000.0
68,0078.HK,2019-12-31,16311800000.0
69,0079.HK,2019-12-31,75957000.0
70,0080.HK,2019-12-31,70463630.0
71,0081.HK,2019-12-31,2377697000.0
72,0082.HK,2019-12-31,-1967000.0
73,0083.HK,2019-12-31,28610031051.0
74,0084.HK,2019-09-30,-162083000.0
75,0085.HK,2019-12-31,114917000.0
76,0086.HK,2019-12-31,-5693000000.0
77,0087.HK,2019-12-31,35119000000.0
78,0088.HK,2019-09-30,-3382100000.0
79,0089.HK,2019-12-31,1214456000.0
80,0090.HK,2019-12-31,136682000.0
81,0091.HK,2019-12-31,398682000.0
82,0092.HK,2019-12-31,225139000.0
83,0093.HK,2019-09-30,-218914000.0
84,0094.HK,2019-12-31,230287000.0
85,0095.HK,2019-12-31,10502094000.0
86,0096.HK,2019-12-31,-80581000.0
87,0097.HK,2019-12-31,-363000000.0
88,0098.HK,2019-12-31,-113596000.0
89,0099.HK,2019-12-31,1325263000.0
90,0100.HK,2019-12-31,-266988000.0
91,0101.HK,2019-12-31,23673000000.0
92,0102.HK,2019-12-31,-860698000.0
93,0103.HK,2019-12-31,162430000.0
94,0104.HK,2019-09-30,-22534000.0
95,0105.HK,2019-09-30,-526162000.0
96,0106.HK,2019-12-31,112308000.0
97,0107.HK,2019-12-31,17552017905.04
98,0108.HK,2019-12-31,1475232000.0
99,0109.HK,2019-12-31,-1161529000.0
100,0110.HK,2019-12-31,-5032000.0
101,0111.HK,2019-12-31,350508000.0
102,0112.HK,2019-12-31,4639457000.0
103,0113.HK,2019-09-30,-2147226000.0
104,0114.HK,2019-09-30,-76330000.0
105,0116.HK,2019-12-31,-574602000.0
106,0117.HK,2019-12-31,-175257000.0
107,0118.HK,2019-12-31,-251668000.0
108,0119.HK,2019-12-31,21587202000.0
109,0120.HK,2019-12-31,1965200000.0
110,0122.HK,2020-01-31,565078721.4000001
111,0123.HK,2019-12-31,39778092000.0
112,0124.HK,2019-12-31,1135121000.0
113,0125.HK,2019-09-30,-323693000.0
114,0126.HK,2019-09-30,315533000.0
115,0127.HK,2019-12-31,11308981000.0
116,0128.HK,2019-12-31,576096000.0
117,0129.HK,2019-09-30,26162063000.0
118,0130.HK,2019-09-30,-22339000.0
119,0131.HK,2019-12-31,-54895000.0
120,0132.HK,2019-12-31,-28255000.0
121,0133.HK,2019-12-31,-64143034.0
122,0135.HK,2019-12-31,7087000000.0
123,0136.HK,2019-12-31,-1309990000.0
124,0137.HK,2019-12-31,758080000.0
125,0138.HK,2019-12-31,2168000000.0
126,0139.HK,2019-12-31,419673000.0
127,0141.HK,2019-12-31,10227000.0
128,0142.HK,2019-12-31,3831500000.0
129,0143.HK,2019-12-31,17941000.0
130,0144.HK,2019-12-31,22524000000.0
131,0145.HK,2019-12-31,-11076000.0
132,0146.HK,2019-06-30,-60094000.0
133,0147.HK,2019-09-30,-385909000.0
134,0148.HK,2019-12-31,11647392000.0
135,0149.HK,2019-12-31,813742000.0
136,0150.HK,2019-09-30,-42589000.0
137,0151.HK,2019-09-30,-7938528000.0
138,0152.HK,2019-12-31,14257955000.0
139,0153.HK,2019-06-30,-282579000.0
140,0154.HK,2019-12-31,1505036000.0
141,0156.HK,2019-09-30,470308000.0
142,0157.HK,2019-12-31,-135296000.0
143,0158.HK,2019-09-30,-300581000.0
144,0159.HK,2019-12-31,-22262000.0
145,0160.HK,2019-09-30,2489014000.0
146,0162.HK,2019-09-30,1318115000.0
147,0163.HK,2019-09-30,20317445000.0
148,0165.HK,2019-12-31,-7265583000.0
149,0166.HK,2019-12-31,-510562000.0
150,0167.HK,2019-12-31,-18000000.0
151,0168.HK,2019-12-31,56952460890.33626
152,0169.HK,2019-12-31,-2421957000.0
153,0171.HK,2019-12-31,2460602000.0
154,0173.HK,2019-12-31,12041435000.0
155,0174.HK,2019-12-31,-266015000.0
156,0175.HK,2019-12-31,-15132021000.0
157,0176.HK,2019-12-31,206060000.0
158,0177.HK,2019-12-31,64075535125.9
159,0178.HK,2019-09-30,-308723000.0
160,0179.HK,2019-09-30,228193000.0
161,0180.HK,2019-12-31,-95086000.0
162,0181.HK,2019-12-31,-55966829.0
163,0182.HK,2019-12-31,7520014000.0
164,0183.HK,2019-12-31,-154064000.0
165,0184.HK,2019-12-31,-1882873000.0
166,0185.HK,2019-12-31,10427541000.0
167,0186.HK,2019-09-30,-412000000.0
168,0187.HK,2019-12-31,673656501.3
169,0188.HK,2019-12-31,71220000.0
170,0189.HK,2019-12-31,-1523242000.0
171,0190.HK,2019-12-31,266100000.0
172,0191.HK,2020-01-31,19292410670.0
173,0193.HK,2020-01-31,199857300.74
174,0194.HK,2019-12-31,-990096000.0
175,0195.HK,2019-12-31,-157205000.0
176,0196.HK,2019-12-31,1297384000.0
177,0197.HK,2019-12-31,-227407000.0
178,0199.HK,2019-09-30,904322000.0
179,0200.HK,2019-12-31,30079251000.0
180,0201.HK,2019-12-31,183522000.0
181,0202.HK,2019-09-30,652830000.0
182,0204.HK,2019-09-30,36199000.0
183,0205.HK,2019-12-31,-56135000.0
184,0206.HK,2019-12-31,-30860000.0
185,0207.HK,2019-12-31,15495759000.0
186,0208.HK,2019-12-31,1009204000.0
